Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
1848;-5.03;0.29;8.35;-0.07;0.34;-0.49;0.28;0.63;0.07
1856;-5.02;0.25;8.23;-0.07;0.34;-0.49;0.70;0.07;0.56
1865;-5.04;0.12;8.23;-0.07;0.34;-0.49;1.61;-0.91;1.12
1874;-4.98;0.20;8.28;-0.07;0.34;-0.49;1.26;-1.26;1.33
1883;-4.97;0.32;8.25;-0.07;0.35;-0.48;0.70;-1.68;1.61
1891;-5.02;0.40;8.24;-0.07;0.35;-0.48;-0.77;-1.75;0.56
1900;-4.97;0.34;8.37;-0.07;0.35;-0.47;-1.96;-1.54;0.49
1909;-4.97;0.35;8.15;-0.08;0.35;-0.47;-2.66;-1.19;-0.07
1918;-5.00;0.41;8.28;-0.08;0.35;-0.47;-2.17;-2.03;0.28
1927;-5.02;0.35;8.41;-0.07;0.34;-0.49;-1.47;-2.17;0.07
1935;-4.95;0.38;8.36;-0.07;0.34;-0.49;-2.24;-1.96;0.07
1944;-5.08;0.36;8.52;-0.07;0.34;-0.49;-1.33;-1.33;0.07
1953;-5.06;0.34;8.56;-0.08;0.35;-0.49;-1.12;-0.49;0.14
1962;-5.12;0.22;8.40;-0.08;0.35;-0.49;0.14;-0.56;0.35
1970;-5.02;0.23;8.31;-0.08;0.35;-0.49;1.33;-0.70;1.33
1979;-5.01;0.14;8.27;-0.07;0.35;-0.48;1.61;-0.42;1.54
1988;-4.92;0.25;8.36;-0.07;0.35;-0.48;1.05;-0.28;1.82
1997;-5.00;0.37;8.26;-0.07;0.35;-0.48;-0.77;-0.42;0.98
2006;-4.92;0.36;8.28;-0.08;0.35;-0.48;-2.10;-0.28;0.07
2014;-5.00;0.42;8.24;-0.08;0.35;-0.48;-2.80;0.21;-1.12
2023;-5.10;0.34;8.38;-0.08;0.35;-0.48;-2.87;-0.07;-0.70
2032;-4.97;0.33;8.37;-0.07;0.35;-0.47;-1.68;-0.56;-0.63
2041;-5.10;0.28;8.41;-0.07;0.35;-0.47;-0.56;-0.63;0.00
2049;-4.99;0.28;8.38;-0.07;0.35;-0.47;0.28;-1.05;0.91
2058;-4.97;0.32;8.28;-0.08;0.35;-0.48;0.91;-1.47;1.61
2067;-5.10;0.33;8.36;-0.08;0.35;-0.48;1.33;-1.54;2.10
2076;-5.10;0.37;8.31;-0.08;0.35;-0.48;1.19;-1.61;2.03
2085;-5.02;0.31;8.20;-0.07;0.35;-0.47;1.12;-1.40;2.03
2093;-4.92;0.35;8.36;-0.07;0.35;-0.47;-0.56;-0.77;1.12
2102;-4.99;0.37;8.27;-0.07;0.35;-0.47;-1.82;-0.70;0.14
2111;-4.92;0.29;8.29;-0.07;0.34;-0.48;-3.08;-0.63;-0.49
2120;-4.95;0.37;8.42;-0.07;0.34;-0.48;-2.31;0.00;0.00
2128;-4.87;0.40;8.38;-0.07;0.34;-0.48;-1.12;-0.49;-0.35
2137;-5.01;0.49;8.31;-0.07;0.35;-0.47;0.07;-0.35;-0.28
2146;-5.05;0.40;8.35;-0.07;0.35;-0.47;0.70;-0.77;0.14
2155;-5.02;0.26;8.28;-0.07;0.35;-0.47;0.84;-1.05;0.35
2164;-5.05;0.31;8.30;-0.07;0.35;-0.48;0.63;-1.61;0.49
2172;-5.00;0.30;8.31;-0.07;0.35;-0.48;0.21;-1.40;0.70
2181;-5.07;0.27;8.38;-0.07;0.35;-0.48;-0.98;-0.98;0.28
2190;-4.95;0.33;8.41;-0.08;0.35;-0.48;-0.98;-0.91;-0.07
2199;-5.09;0.36;8.39;-0.08;0.35;-0.48;-1.68;0.14;-0.07
2208;-5.02;0.27;8.44;-0.08;0.35;-0.49;-0.70;-0.14;-0.28
2216;-5.08;0.24;8.37;-0.08;0.35;-0.49;0.35;-0.21;0.28
2225;-4.93;0.34;8.26;-0.08;0.35;-0.49;0.98;0.00;0.14
2234;-5.00;0.34;8.18;-0.07;0.34;-0.49;0.56;-0.14;0.21
2243;-5.00;0.24;8.08;-0.07;0.34;-0.49;0.21;0.28;-0.14
2251;-5.01;0.28;8.10;-0.07;0.34;-0.49;-0.21;-0.14;-0.14
2260;-5.01;0.21;8.14;-0.07;0.34;-0.49;-0.98;-0.63;-0.14
2269;-5.03;0.17;8.22;-0.07;0.34;-0.49;-0.98;-0.70;0.07
2278;-5.00;0.23;8.20;-0.07;0.34;-0.49;-0.14;-0.91;0.77
2287;-5.00;0.27;8.20;-0.07;0.35;-0.48;0.00;-1.26;1.54
2295;-4.98;0.34;8.26;-0.07;0.35;-0.48;-0.63;-1.61;1.19
2304;-4.98;0.29;8.26;-0.07;0.35;-0.48;-2.10;-1.12;0.35
2313;-4.97;0.31;8.40;-0.07;0.35;-0.49;-2.94;-1.33;17.85
2322;-4.95;0.30;8.31;-0.07;0.35;-0.49;-1.61;-1.61;0.42
2330;-4.92;0.29;8.29;-0.07;0.35;-0.49;-0.35;-1.61;0.77
2339;-5.02;0.37;8.40;-0.07;0.35;-0.49;-0.21;-0.77;0.56
2348;-4.93;0.37;8.43;-0.07;0.35;-0.49;0.00;0.21;0.35
2357;-5.00;0.29;8.36;-0.07;0.35;-0.49;-0.21;0.21;0.56
2365;-4.96;0.28;8.21;-0.08;0.35;-0.49;0.35;-0.35;0.56
2374;-5.04;0.14;8.41;-0.08;0.35;-0.49;1.26;-0.28;0.98
2383;-5.04;0.27;8.33;-0.08;0.35;-0.49;1.33;-0.77;0.91
2392;-4.97;0.31;8.14;-0.08;0.35;-0.48;-0.56;-1.33;0.49
2401;-5.05;0.27;8.24;-0.08;0.35;-0.48;-2.87;-1.75;0.49
2409;-5.02;0.22;8.20;-0.08;0.35;-0.48;-3.92;-1.61;0.07
2418;-4.97;0.22;8.34;-0.08;0.35;-0.49;-3.43;-1.68;0.56
2427;-5.03;0.35;8.27;-0.08;0.35;-0.49;-1.47;-1.12;1.26
2436;-5.00;0.35;8.36;-0.08;0.35;-0.49;0.49;-0.77;1.54
2445;-5.03;0.36;8.37;-0.06;0.35;-0.49;1.05;-1.05;1.75
2454;-4.99;0.39;8.18;-0.06;0.35;-0.49;0.91;-1.05;0.98
2462;-5.01;0.36;8.38;-0.06;0.35;-0.49;0.07;-1.26;0.84
2471;-5.11;0.26;8.34;-0.07;0.35;-0.48;-0.42;-1.54;1.05
2480;-5.06;0.29;8.27;-0.07;0.35;-0.48;-0.84;-1.47;1.26
2489;-5.00;0.30;8.38;-0.07;0.35;-0.48;0.00;-1.40;1.12
2497;-5.08;0.32;8.33;-0.06;0.35;-0.47;-0.49;-0.98;0.91
2506;-5.02;0.35;8.41;-0.06;0.35;-0.47;-0.70;-0.35;1.05
2515;-4.95;0.27;8.29;-0.06;0.35;-0.47;-0.84;-0.35;1.33
2524;-4.94;0.26;8.22;-0.07;0.36;-0.47;-0.63;-0.77;1.47
2532;-5.00;0.47;8.36;-0.07;0.36;-0.47;17.57;-1.05;1.54
2541;-5.00;0.36;8.36;-0.07;0.36;-0.48;-0.21;-1.05;1.61
2550;-4.97;0.55;8.42;-0.08;0.35;-0.48;0.63;-0.42;1.61
2559;-5.01;0.38;8.31;-0.08;0.35;-0.48;-0.28;-0.35;0.77
2567;-5.00;0.39;8.21;-0.08;0.35;-0.49;-0.63;-0.07;0.21
2576;-4.98;0.31;8.10;-0.08;0.35;-0.49;-1.68;-0.28;0.14
2585;-4.98;0.34;8.18;-0.08;0.35;-0.49;-0.84;-0.77;0.14
2594;-4.97;0.37;8.32;-0.08;0.35;-0.47;-0.49;-1.40;0.42
2602;-4.90;0.26;8.39;-0.08;0.35;-0.47;-0.77;-1.82;0.77
2611;-4.99;0.40;8.37;-0.08;0.35;-0.47;-0.21;-1.61;0.63
2620;-5.08;0.41;8.47;-0.08;0.36;-0.48;-0.35;-1.05;0.28
2629;-5.08;0.37;8.36;-0.08;0.36;-0.48;0.14;-0.21;0.07
2637;-5.11;0.30;8.39;-0.08;0.36;-0.48;0.63;0.63;0.21
2646;-5.08;0.17;8.32;-0.08;0.35;-0.48;0.77;0.70;0.49
2655;-5.13;0.24;8.23;-0.08;0.35;-0.48;0.98;0.49;0.98
