Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
2201;-1.43;-9.87;-1.34;0.06;0.95;-0.08;-0.70;-0.21;0.35
2210;-1.39;-9.81;-1.26;0.06;0.95;-0.08;-0.84;-0.63;0.07
2219;-1.34;-9.93;-1.34;0.06;0.95;-0.08;-0.70;-0.91;-0.42
2227;-1.42;-9.86;-1.36;0.06;0.95;-0.08;-1.12;-1.33;-0.28
2236;-1.34;-9.96;-1.28;0.06;0.94;-0.10;-0.98;-1.40;-0.84
2245;-1.37;-9.94;-1.23;0.06;0.94;-0.10;-1.33;-1.40;-1.26
2254;-1.30;-10.06;-1.28;0.06;0.94;-0.10;-0.84;-1.19;-0.56
2263;-1.44;-10.16;-1.26;0.07;0.96;-0.08;-0.70;-0.77;-0.35
2271;-1.41;-10.13;-1.13;0.07;0.96;-0.08;0.00;-0.49;0.49
2280;-1.53;-10.16;-1.21;0.07;0.96;-0.08;-0.07;-0.35;1.05
2289;-1.36;-10.03;-1.30;0.07;0.95;-0.11;0.07;-0.21;1.40
2298;-1.34;-9.98;-1.26;0.07;0.95;-0.11;0.14;-0.56;1.47
2306;-1.36;-9.92;-1.37;0.07;0.95;-0.11;-0.70;-0.98;0.91
2315;-1.31;-9.92;-1.29;0.06;0.94;-0.07;-0.77;-1.33;0.77
2324;-1.28;-9.84;-1.18;0.06;0.94;-0.07;-0.28;-0.84;0.63
2333;-1.30;-9.83;-1.07;0.06;0.94;-0.07;-0.35;-0.63;0.28
2342;-1.34;-9.97;-1.12;0.06;0.94;-0.08;-0.35;-0.28;-0.07
2350;-1.31;-9.89;-1.17;0.06;0.94;-0.08;-0.84;0.00;0.28
2359;-1.38;-9.97;-1.18;0.06;0.94;-0.08;-1.12;-0.21;0.14
2368;-1.29;-9.95;-1.26;0.06;0.94;-0.08;-0.84;-0.35;0.49
2377;-1.41;-10.00;-1.14;0.06;0.94;-0.08;-0.84;-0.63;0.63
2386;-1.43;-9.93;-1.26;0.06;0.94;-0.08;-0.42;0.07;0.84
2394;-1.34;-9.99;-1.20;0.06;0.95;-0.08;0.49;17.85;1.54
2403;-1.31;-9.95;-1.51;0.06;0.95;-0.08;0.14;-0.14;1.19
2412;-1.26;-9.90;-1.35;0.06;0.95;-0.08;-0.07;-0.70;0.84
2421;-1.21;-9.88;-1.39;0.06;0.94;-0.07;-1.26;-1.26;0.35
2430;-1.16;-9.83;-1.32;0.06;0.94;-0.07;-2.17;-1.40;-0.07
2438;-1.34;-9.89;-1.33;0.07;0.94;-0.08;-2.87;-1.61;-0.28
2447;-1.29;-9.96;-1.11;0.07;0.94;-0.08;-2.59;-1.26;0.07
2456;-1.29;-9.87;-1.04;0.07;0.94;-0.08;-2.38;-0.84;0.63
2465;-1.23;-9.80;-1.04;0.07;0.95;-0.09;-1.05;-0.28;0.91
2474;-1.25;-9.96;-1.07;0.07;0.95;-0.09;-0.49;0.28;0.91
2482;-1.26;-9.73;-1.06;0.07;0.95;-0.09;-1.26;0.70;-0.21
2491;-1.23;-9.85;-1.28;0.06;0.94;-0.10;-2.73;0.98;-1.40
2500;-1.25;-9.92;-1.48;0.06;0.94;-0.10;-5.18;0.07;-1.96
2509;-1.32;-9.98;-1.39;0.06;0.94;-0.10;-6.58;-0.63;-2.31
2518;-1.29;-10.08;-1.41;0.06;0.95;-0.09;-7.28;-1.33;-2.38
2527;-1.40;-10.06;-1.13;0.06;0.95;-0.09;-7.56;-1.96;-1.89
2535;-1.37;-10.09;-1.03;0.06;0.95;-0.09;-6.51;-1.82;-1.19
2544;-1.34;-10.02;-0.93;0.05;0.94;-0.10;-5.04;-0.91;-0.42
2553;-1.46;-10.02;-0.90;0.05;0.94;-0.10;-2.94;0.07;0.56
2562;-1.57;-10.04;-1.06;0.05;0.94;-0.10;-1.89;0.42;0.84
2570;-1.51;-9.94;-0.97;0.07;0.95;-0.08;-0.35;0.63;0.98
2579;-1.40;-9.83;-1.09;0.07;0.95;-0.08;0.70;0.70;0.70
2588;-1.39;-9.82;-1.13;0.07;0.95;-0.08;1.19;0.07;0.84
2597;-1.26;-9.76;-1.28;0.07;0.94;-0.09;0.84;-0.63;0.00
2606;-1.24;-9.88;-1.40;0.07;0.94;-0.09;0.00;-0.98;-0.70
2614;-1.44;-9.87;-1.21;0.07;0.94;-0.09;-1.19;-1.68;-1.40
2623;-1.36;-9.92;-1.27;0.06;0.94;-0.09;-2.10;-1.47;-1.05
2632;-1.35;-10.14;-1.12;0.06;0.94;-0.09;-1.75;-1.26;-0.56
2641;-1.54;-10.02;-1.29;0.06;0.94;-0.09;-1.05;-1.05;0.07
2650;-1.36;-10.02;-1.08;0.06;0.95;-0.09;-0.28;-0.56;0.70
2658;-1.33;-9.95;-1.16;0.06;0.95;-0.09;0.63;0.00;1.19
2667;-1.34;-9.96;-1.21;0.06;0.95;-0.09;0.35;-0.28;0.98
2676;-1.35;-9.85;-1.15;0.07;0.94;-0.10;0.35;-0.07;0.91
2685;-1.31;-9.74;-1.27;0.07;0.94;-0.10;0.21;-0.42;0.42
2694;-1.28;-9.78;-1.22;0.07;0.94;-0.10;-0.56;-0.84;0.07
2702;-1.34;-9.81;-1.26;0.06;0.94;-0.10;-0.21;-1.05;-0.28
