Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
7824.0;1.18;-1.46;9.32;0.09;0.05;0.19;0.63;3.15;0.63
7825.0;1.17;-1.46;9.45;0.09;0.06;0.19;1.33;3.01;1.33
7826.0;1.14;-1.47;9.5;0.09;0.06;0.19;1.05;2.38;1.05
7827.0;1.23;-1.49;9.54;0.09;0.06;0.19;-0.91;2.73;-0.91
7828.0;1.23;-1.6;9.45;0.08;0.05;0.19;0.07;1.68;0.07
7829.0;1.16;-1.54;9.39;0.08;0.05;0.19;0.07;1.33;0.07
7830.0;1.21;-1.45;9.46;0.08;0.05;0.19;0.77;3.36;0.77
7831.0;1.19;-1.57;9.27;0.09;0.06;0.19;0.77;3.22;0.77
7832.0;1.18;-1.59;9.44;0.09;0.06;0.19;0.63;1.19;0.63
7833.0;1.09;-1.52;9.47;0.08;0.05;0.19;-0.28;2.66;-0.28
7834.0;1.28;-1.5;9.5;0.08;0.05;0.19;-0.56;1.05;-0.56
7835.0;1.18;-1.51;9.31;0.08;0.05;0.19;0.91;2.03;0.91
7836.0;1.22;-1.49;9.43;0.08;0.06;0.19;0.28;3.29;0.28
7837.0;1.22;-1.49;9.44;0.08;0.06;0.19;1.4;2.52;1.4
7838.0;1.21;-1.62;9.43;0.09;0.06;0.19;-0.56;1.05;-0.56
7839.0;1.23;-1.48;9.37;0.09;0.06;0.19;0.56;1.89;0.56
7840.0;1.1;-1.48;9.35;0.09;0.06;0.19;-0.07;2.94;-0.07
7841.0;1.16;-1.59;9.41;0.09;0.06;0.19;1.68;2.94;1.68
7842.0;1.12;-1.42;9.45;0.09;0.06;0.19;0.7;2.1;0.7
7843.0;1.17;-1.54;9.48;0.08;0.06;0.19;0.07;2.45;0.07
7844.0;1.16;-1.56;9.42;0.08;0.06;0.19;-0.7;1.47;-0.7
7845.0;1.16;-1.6;9.48;0.08;0.06;0.19;0.91;2.59;0.91
7846.0;1.23;-1.54;9.42;0.09;0.06;0.18;-0.14;2.94;-0.14
7847.0;1.08;-1.45;9.52;0.09;0.06;0.18;1.75;3.71;1.75
7848.0;1.23;-1.47;9.38;0.08;0.06;0.19;-0.14;2.8;-0.14
7849.0;1.14;-1.45;9.45;0.08;0.06;0.19;-0.91;1.47;-0.91
7850.0;1.18;-1.51;9.28;0.08;0.06;0.19;0.7;4.06;0.7
7851.0;1.12;-1.57;9.38;0.1;0.06;0.19;-0.21;2.45;-0.21
7852.0;1.06;-1.49;9.44;0.1;0.06;0.19;1.68;2.66;1.68
7853.0;1.21;-1.64;9.5;0.08;0.06;0.2;-0.28;4.2;-0.28
7854.0;1.2;-1.49;9.38;0.08;0.06;0.2;-0.21;1.05;-0.21
7855.0;1.19;-1.5;9.45;0.08;0.06;0.2;0.07;0.56;0.07
7856.0;1.09;-1.46;9.48;0.09;0.06;0.2;1.68;5.18;1.68
7857.0;1.34;-1.6;9.38;0.09;0.06;0.2;0.21;2.03;0.21
7858.0;1.23;-1.49;9.5;0.08;0.05;0.19;1.54;1.47;1.54
7859.0;1.11;-1.56;9.43;0.08;0.05;0.19;-0.84;2.73;-0.84
7860.0;1.2;-1.41;9.4;0.08;0.05;0.19;-0.14;1.47;-0.14
7861.0;1.08;-1.51;9.43;0.1;0.05;0.19;0.84;1.89;0.84
7862.0;1.11;-1.59;9.48;0.1;0.05;0.19;0.07;4.13;0.07
7863.0;1.2;-1.56;9.42;0.09;0.06;0.18;1.33;2.1;1.33
7864.0;1.03;-1.66;9.51;0.09;0.06;0.18;0.49;2.1;0.49
7865.0;1.26;-1.44;9.5;0.09;0.06;0.18;-0.21;2.66;-0.21
7866.0;1.21;-1.59;9.38;0.08;0.06;0.19;-0.49;2.1;-0.49
7867.0;1.15;-1.44;9.45;0.08;0.06;0.19;1.33;1.33;1.33
7868.0;1.06;-1.51;9.39;0.08;0.06;0.19;0.98;3.92;0.98
7869.0;1.27;-1.53;9.43;0.08;0.05;0.18;-0.56;3.08;-0.56
7870.0;1.21;-1.56;9.46;0.08;0.05;0.18;1.61;2.03;1.61
7871.0;1.15;-1.51;9.45;0.08;0.05;0.18;0.07;1.54;0.07
7872.0;1.26;-1.54;9.44;0.08;0.05;0.18;-0.63;3.01;-0.63
7873.0;1.13;-1.49;9.49;0.08;0.05;0.18;1.19;1.4;1.19
7874.0;1.09;-1.52;9.43;0.09;0.06;0.19;0.77;2.94;0.77
7875.0;1.18;-1.55;9.35;0.09;0.06;0.19;0.49;3.78;0.49
7876.0;1.09;-1.58;9.47;0.09;0.06;0.19;0.28;0.84;0.28
7877.0;1.13;-1.43;9.47;0.08;0.07;0.19;-0.21;2.94;-0.21
7878.0;1.28;-1.5;9.43;0.08;0.07;0.19;0.0;2.73;0.0
7879.0;1.11;-1.53;9.43;0.08;0.07;0.19;0.98;1.12;0.98
7880.0;1.16;-1.47;9.45;0.08;0.06;0.19;0.7;4.69;0.7
7881.0;1.28;-1.62;9.25;0.08;0.06;0.19;-0.14;2.59;-0.14
7882.0;1.18;-1.47;9.53;0.09;0.06;0.19;0.63;0.91;0.63
7884.0;1.21;-1.51;9.39;0.09;0.06;0.2;0.07;1.33;0.07
7885.0;1.13;-1.44;9.47;0.09;0.06;0.2;1.89;2.31;1.89
7886.0;1.06;-1.56;9.33;0.09;0.06;0.2;-0.98;5.11;-0.98
7887.0;1.34;-1.49;9.4;0.09;0.06;0.19;0.63;0.35;0.63
7888.0;1.06;-1.43;9.48;0.09;0.06;0.19;0.35;2.38;0.35
7889.0;1.23;-1.59;9.45;0.09;0.05;0.2;-0.49;4.27;-0.49
7890.0;1.25;-1.5;9.51;0.09;0.05;0.2;1.33;0.56;1.33
7891.0;1.11;-1.49;9.5;0.09;0.05;0.2;0.07;3.57;0.07
7892.0;1.08;-1.54;9.36;0.09;0.06;0.17;-0.42;2.66;-0.42
7893.0;1.17;-1.54;9.52;0.09;0.06;0.17;0.98;1.19;0.98
7894.0;1.09;-1.49;9.44;0.09;0.06;0.19;-0.42;3.15;-0.42
7895.0;1.21;-1.5;9.38;0.08;0.06;0.19;0.07;2.45;0.07
7896.0;1.16;-1.45;9.43;0.08;0.06;0.19;1.05;2.31;1.05
